gene,R1L1Kidney,R1L2Liver,R1L3Kidney,R1L4Liver,R1L6Liver,R1L7Kidney,R1L8Liver,R2L2Kidney,R2L3Liver,R2L6Kidney
ENSG00000172482,22,2289,22,2183,1963,24,1967,24,2390,33
ENSG00000162267,22,2220,25,2115,2032,12,1940,22,2360,21
ENSG00000134240,170,2161,189,2229,2166,180,2019,191,2393,199
ENSG00000073849,354,2310,338,2268,2320,342,2185,366,2388,375
ENSG00000115414,296,2234,326,2209,2125,282,2057,326,2244,326
ENSG00000163755,74,1961,86,1894,1853,79,1792,74,2026,74
ENSG00000055957,27,1744,13,1784,1572,15,1605,20,1825,28
ENSG00000116218,1604,3,1606,8,8,1570,7,1725,7,1744
ENSG00000121310,229,1832,223,1805,1812,247,1693,228,1954,239
ENSG00000163586,854,2474,871,2500,2444,832,2260,919,2614,910
ENSG00000116285,115,1669,144,1753,1710,115,1675,143,1794,153
ENSG00000167165,1715,3362,1762,3329,3330,1718,3248,1810,3446,1892
ENSG00000117289,1848,431,2031,408,418,1897,394,1893,429,2113
ENSG00000113905,86,1607,95,1583,1584,92,1542,99,1700,92
ENSG00000157131,14,1352,11,1405,1400,13,1345,7,1402,14
ENSG00000123838,31,1314,14,1363,1282,23,1238,20,1391,28
ENSG00000168743,1248,45,1326,40,44,1308,44,1424,50,1380
ENSG00000180432,40,1322,36,1258,1300,38,1203,43,1433,53
ENSG00000151790,18,1238,14,1287,1273,10,1172,12,1320,17
ENSG00000162909,1263,98,1330,82,73,1244,82,1393,100,1376
ENSG00000116171,542,1777,568,1800,1817,545,1663,548,1845,601
ENSG00000074800,1499,337,1528,311,336,1318,301,1546,343,1551
ENSG00000163541,1271,212,1378,230,202,1168,179,1339,194,1417
ENSG00000079557,176,1262,187,1304,1265,156,1232,160,1369,193
ENSG00000115306,1806,711,1807,676,632,1689,678,1761,694,1876
ENSG00000132688,1122,66,1113,58,62,1004,46,1204,55,1222
ENSG00000081479,1033,14,1124,12,10,1069,6,1111,7,1108
ENSG00000150938,1088,80,1174,78,100,1085,88,1184,89,1217
ENSG00000138792,1159,95,1089,131,118,1154,94,1122,120,1204
ENSG00000007933,27,998,50,1084,1043,28,1006,27,1142,33
ENSG00000021852,10,968,12,1002,969,11,982,4,982,20
ENSG00000138798,949,4,922,3,4,885,4,942,8,967
ENSG00000163581,134,1084,149,1091,1014,130,1042,139,1096,149
ENSG00000114573,969,149,1102,154,170,1046,133,1118,163,1110
ENSG00000197956,942,64,961,56,58,886,62,1071,60,995
ENSG00000160801,996,84,932,70,80,896,62,1038,92,1060
ENSG00000163531,912,66,982,88,86,936,83,1034,94,1036
ENSG00000172005,862,3,874,12,8,812,4,942,10,963
ENSG00000116039,864,5,875,2,5,786,1,898,7,916
ENSG00000138079,822,26,856,21,12,791,21,861,26,898
ENSG00000156096,10,814,16,870,844,6,740,9,886,6
ENSG00000134243,919,86,875,93,77,849,75,883,94,937
ENSG00000171234,1317,572,1374,584,561,1312,543,1418,594,1411
ENSG00000009307,1304,513,1350,536,530,1302,523,1324,556,1356
ENSG00000162366,730,4,782,8,7,720,7,832,6,866
ENSG00000132855,82,822,96,874,823,86,821,76,885,90
ENSG00000115884,786,1611,830,1643,1490,772,1427,948,1699,897
ENSG00000135929,73,825,103,855,786,76,794,87,857,92
ENSG00000117335,1007,372,1096,386,376,1089,358,1083,394,1142
ENSG00000091409,784,56,741,60,64,760,49,758,68,776
ENSG00000115107,40,733,50,736,700,46,753,52,834,73
ENSG00000125618,684,7,662,11,8,662,12,757,9,770
ENSG00000113790,332,1095,345,1085,1019,345,974,381,1096,384
ENSG00000123843,5,719,7,696,724,4,655,13,723,7
ENSG00000168509,9,696,10,710,736,7,666,8,711,8
ENSG00000127603,1053,406,1105,444,400,1057,423,1114,411,1187
ENSG00000168385,945,295,1032,300,298,932,285,1043,340,982
ENSG00000163347,82,762,76,783,745,83,721,87,759,91
ENSG00000065882,707,72,738,68,61,714,57,724,64,783
ENSG00000163513,841,213,852,200,195,799,207,916,212,937
ENSG00000172955,126,776,144,810,754,118,736,136,862,120
ENSG00000138078,744,110,774,113,93,751,105,772,106,793
ENSG00000162896,721,112,772,115,103,700,126,816,128,816
ENSG00000169031,656,8,614,14,10,617,10,692,8,715
ENSG00000115419,658,32,698,32,29,658,30,662,28,719
ENSG00000067560,1024,382,1010,382,393,985,369,1083,417,1069
ENSG00000182551,700,1406,714,1355,1344,698,1252,682,1378,774
ENSG00000198203,656,8,636,6,8,639,8,638,10,650
ENSG00000116690,13,671,24,686,643,19,612,28,652,18
ENSG00000049239,183,838,232,822,814,179,773,207,895,199
ENSG00000169764,393,1003,387,1071,970,391,1021,369,1039,431
ENSG00000109814,175,833,217,790,787,172,763,165,844,178
ENSG00000118816,823,235,822,249,211,874,224,825,256,924
ENSG00000083857,628,39,637,58,44,671,52,664,49,704
ENSG00000117472,572,14,614,17,15,603,13,624,16,688
ENSG00000115112,587,6,636,3,4,578,5,628,9,628
ENSG00000138448,662,79,667,82,80,733,80,689,96,661
ENSG00000198734,80,660,79,716,702,75,628,94,672,96
ENSG00000205795,624,13,614,8,21,566,12,627,15,583
ENSG00000152291,1255,660,1215,655,657,1144,590,1244,700,1307
ENSG00000143384,582,1164,626,1236,1126,568,1134,626,1234,618
ENSG00000119888,538,17,630,17,20,570,24,574,8,607
ENSG00000115468,619,98,690,80,101,574,102,688,113,728
ENSG00000115310,1542,1047,1551,1052,1074,1609,1011,1549,1024,1733
ENSG00000154518,754,178,754,204,202,741,176,776,217,772
ENSG00000186510,515,6,564,1,1,516,3,568,2,590
ENSG00000153246,532,8,580,8,8,513,11,572,12,581
ENSG00000144283,668,116,634,112,112,603,105,686,125,700
ENSG00000143882,852,338,935,377,385,878,337,902,354,931
ENSG00000076864,594,89,609,69,79,543,76,630,94,714
ENSG00000143156,596,50,593,58,53,592,51,592,59,578
ENSG00000162734,663,92,636,90,102,567,98,625,124,671
ENSG00000187758,3,490,6,568,549,9,487,8,582,5
ENSG00000109654,590,49,613,59,65,563,64,558,54,609
ENSG00000178038,600,54,520,62,56,480,44,634,54,636
ENSG00000116016,1060,631,1151,578,651,1030,550,1232,678,1158
ENSG00000136068,763,234,772,254,209,666,241,766,246,806
ENSG00000078369,848,316,838,320,360,836,314,852,351,884
ENSG00000070087,564,44,580,49,58,541,59,568,47,603
ENSG00000171603,533,68,576,44,51,556,62,635,81,581
ENSG00000162407,742,260,752,242,243,761,242,830,266,742
ENSG00000173376,492,7,518,4,3,505,2,558,4,518
ENSG00000134215,521,14,526,10,15,514,7,476,7,559
ENSG00000117519,699,230,749,256,217,702,232,789,236,754
ENSG00000184908,484,4,486,2,5,463,4,573,3,512
ENSG00000014641,607,192,662,182,158,676,172,712,205,738
ENSG00000135940,629,186,688,165,199,638,181,738,187,698
ENSG00000115718,48,569,49,543,517,36,500,53,574,48
ENSG00000168237,72,574,56,586,533,67,496,63,568,58
ENSG00000174748,758,324,831,319,319,774,310,778,323,866
ENSG00000138758,623,192,649,167,166,635,172,654,162,693
ENSG00000134107,678,199,661,176,172,575,169,711,191,657
ENSG00000000971,28,470,27,502,500,28,490,34,536,42
ENSG00000153187,821,349,795,357,357,760,344,874,375,850
ENSG00000143933,743,286,772,286,262,735,269,738,258,692
ENSG00000091317,220,720,245,660,670,207,673,185,632,188
ENSG00000143418,715,1313,796,1194,1142,705,1114,790,1285,806
ENSG00000169242,92,589,76,522,544,79,537,86,542,92
ENSG00000117594,16,450,10,498,473,18,453,23,512,15
ENSG00000115677,966,588,974,577,527,940,518,1002,598,1108
ENSG00000205403,826,1254,889,1315,1200,783,1241,778,1308,864
ENSG00000196549,438,20,468,18,10,426,16,486,18,472
ENSG00000173230,853,422,922,424,424,839,393,830,455,838
ENSG00000162391,435,5,444,2,5,414,6,455,7,450
ENSG00000144035,478,55,490,44,47,423,54,497,61,522
ENSG00000158125,2,413,8,455,447,5,419,5,433,7
ENSG00000184292,463,19,434,13,24,388,16,454,29,450
ENSG00000116771,528,161,613,162,166,536,175,598,163,624
ENSG00000142949,332,732,320,772,716,312,711,350,808,354
ENSG00000188338,43,452,28,488,417,33,418,40,484,37
ENSG00000185499,394,8,428,6,5,346,3,469,5,448
ENSG00000144677,526,188,570,184,142,566,171,624,178,608
ENSG00000172037,510,128,528,114,121,485,118,556,148,574
ENSG00000071127,586,191,571,195,197,578,185,621,182,624
ENSG00000134389,7,395,7,414,415,1,392,6,437,2
ENSG00000144674,1028,631,1109,670,683,1125,678,1029,719,1065
ENSG00000134109,130,558,99,512,478,112,533,135,510,121
ENSG00000143870,814,422,842,486,454,836,412,820,464,896
ENSG00000174514,376,2,399,5,4,374,6,441,4,399
ENSG00000144852,3,408,4,410,368,6,384,5,423,9
ENSG00000197747,414,72,460,70,68,432,67,480,62,507
ENSG00000174640,408,46,413,40,34,383,47,465,36,477
ENSG00000177807,380,7,368,6,6,412,4,397,8,416
ENSG00000129116,568,177,544,178,127,544,153,522,161,554
ENSG00000183023,369,22,408,24,17,402,23,418,22,431
ENSG00000173531,58,446,45,452,400,45,410,60,470,57
ENSG00000128641,404,796,451,846,814,457,758,419,844,442
ENSG00000080493,389,39,401,37,36,421,28,393,34,451
ENSG00000163629,363,14,414,16,10,362,15,400,14,409
ENSG00000188157,410,50,414,53,44,350,42,462,70,472
ENSG00000172380,556,171,538,200,157,508,138,531,190,581
ENSG00000132405,465,81,471,82,80,390,80,493,98,454
ENSG00000164111,496,150,518,142,148,494,148,520,134,554
ENSG00000198189,120,501,125,474,492,121,464,119,515,101
ENSG00000116679,484,124,486,117,114,450,109,504,117,508
ENSG00000143878,319,669,302,728,682,288,620,331,748,400
ENSG00000116209,632,309,718,355,320,696,297,631,287,712
ENSG00000159658,525,204,541,211,195,548,194,605,179,595
ENSG00000151729,469,91,413,89,66,451,76,442,90,447
ENSG00000159176,540,179,549,200,163,437,186,561,190,596
ENSG00000168710,457,125,467,109,114,447,89,475,106,468
ENSG00000152642,376,16,362,28,28,394,21,380,28,367
ENSG00000010319,346,14,350,11,11,318,12,409,16,385
ENSG00000118804,31,358,32,412,390,32,350,32,408,42
ENSG00000115561,470,116,500,132,136,429,142,524,145,482
ENSG00000169504,603,267,620,224,258,551,257,560,245,634
ENSG00000010256,511,151,515,165,147,446,170,529,177,520
ENSG00000088926,113,490,138,495,467,133,490,146,464,156
ENSG00000138639,338,37,394,32,36,359,34,377,39,418
ENSG00000163683,70,431,74,426,411,83,393,78,430,78
ENSG00000079739,194,564,198,540,506,189,500,213,575,194
ENSG00000081052,347,17,377,23,23,361,36,365,24,381
ENSG00000161267,107,444,105,457,443,129,452,125,499,158
ENSG00000156976,624,332,665,326,325,646,292,634,334,700
ENSG00000184500,100,444,120,441,478,123,413,107,452,113
ENSG00000173402,589,232,539,230,244,522,216,613,273,577
ENSG00000134248,418,78,438,86,82,382,71,386,94,442
ENSG00000121769,308,6,380,16,16,344,19,351,26,354
ENSG00000213963,307,11,365,7,11,324,13,358,11,354
ENSG00000023228,410,103,452,103,115,403,102,472,108,433
ENSG00000084090,542,182,513,188,201,478,186,516,198,542
ENSG00000109819,381,65,392,69,70,348,78,419,73,433
ENSG00000175879,336,4,295,1,0,321,3,338,3,335
ENSG00000164344,25,366,43,390,329,21,308,25,357,32
ENSG00000164035,325,12,338,4,9,311,6,334,8,346
ENSG00000113889,1642,1978,1660,2012,1948,1650,1916,1760,2116,1799
ENSG00000145362,319,5,306,4,2,309,6,342,3,343
ENSG00000161203,479,185,455,178,174,463,175,524,192,548
ENSG00000090530,331,13,309,12,17,310,12,345,11,349
ENSG00000069702,386,83,402,72,74,394,69,376,88,394
ENSG00000116005,426,158,493,158,155,488,168,435,133,481
ENSG00000152990,71,361,83,398,381,83,377,74,412,61
ENSG00000061676,412,153,441,157,152,455,150,488,137,496
ENSG00000168309,312,20,306,19,22,349,22,328,23,359
ENSG00000117707,39,344,41,366,354,50,328,45,376,54
ENSG00000163694,487,208,511,236,223,477,210,594,248,559
ENSG00000131238,357,56,370,76,59,354,69,378,70,402
ENSG00000170275,422,148,425,134,119,394,126,475,145,467
ENSG00000162545,493,187,474,200,185,456,152,501,192,509
ENSG00000150995,303,47,347,35,30,310,33,342,34,382
ENSG00000034510,411,155,412,104,122,392,113,447,152,478
ENSG00000153904,593,349,628,350,324,598,311,623,332,707
ENSG00000035115,359,53,340,71,39,348,40,345,46,364
ENSG00000127838,93,393,95,401,385,86,354,90,415,91
ENSG00000135916,350,61,347,70,50,348,52,350,63,389
ENSG00000142599,464,192,463,191,163,458,155,523,176,446
ENSG00000187048,200,540,188,488,447,176,463,227,528,222
ENSG00000138095,461,169,470,166,166,443,153,468,171,457
ENSG00000179010,643,353,713,408,382,632,341,668,386,665
ENSG00000137942,328,44,372,55,49,296,58,332,48,382
ENSG00000115524,727,453,765,484,500,753,409,714,488,810
ENSG00000115053,732,506,808,476,487,746,478,804,529,822
ENSG00000162430,354,63,330,67,54,306,54,380,69,376
ENSG00000163902,510,254,580,284,259,517,262,579,246,553
ENSG00000155066,288,4,272,4,4,280,7,310,4,319
ENSG00000138075,0,293,2,281,297,1,296,2,287,0
ENSG00000060971,513,804,508,785,732,399,696,530,826,527
ENSG00000163947,314,25,334,29,24,305,36,332,36,304
ENSG00000116199,415,115,365,107,87,346,97,405,114,410
ENSG00000075785,583,301,617,314,297,566,312,554,300,624
ENSG00000169116,288,25,326,29,25,296,14,317,23,314
ENSG00000138823,47,337,49,334,345,48,335,56,324,60
ENSG00000012171,304,14,258,15,14,249,9,347,17,296
ENSG00000164050,565,280,505,286,305,456,255,623,330,622
ENSG00000159423,808,1150,771,1025,1056,748,993,922,1153,906
ENSG00000143248,420,170,450,164,185,428,162,478,166,458
ENSG00000138413,208,504,225,475,476,227,476,240,551,208
ENSG00000116882,216,498,201,492,460,196,471,227,516,216
ENSG00000162496,220,524,232,485,484,220,454,250,590,280
ENSG00000118564,437,196,472,178,181,416,155,455,157,460
ENSG00000014824,310,98,383,105,100,348,109,405,85,401
ENSG00000114786,477,206,460,213,185,415,199,505,214,510
ENSG00000197635,313,44,327,50,39,265,36,331,29,322
ENSG00000196482,254,14,298,14,10,286,14,294,11,291
ENSG00000072840,260,18,300,26,17,252,20,320,20,318
ENSG00000116984,330,80,358,69,62,327,60,329,50,324
ENSG00000138029,816,531,773,544,505,768,458,782,522,743
ENSG00000115896,257,5,296,8,10,280,6,263,4,270
ENSG00000143776,407,139,401,146,167,414,152,431,139,419
ENSG00000130147,311,60,354,70,72,302,67,366,66,322
ENSG00000142871,394,176,464,181,176,398,174,476,188,464
ENSG00000152795,456,243,546,238,230,500,240,504,237,488
ENSG00000058262,479,776,506,774,750,522,746,569,844,535
ENSG00000163956,333,86,302,80,72,303,54,380,95,365
ENSG00000114771,8,286,7,266,278,7,260,7,263,10
ENSG00000142676,1049,837,1097,817,777,987,753,1010,825,1113
ENSG00000134202,251,13,272,14,8,265,16,288,24,304
ENSG00000163191,272,47,311,46,44,283,41,331,50,328
ENSG00000159388,273,34,296,26,20,268,36,304,30,304
ENSG00000052802,587,875,652,836,876,599,872,570,840,622
ENSG00000013016,271,21,237,23,19,252,11,286,29,328
ENSG00000135821,508,841,547,820,789,532,709,568,810,584
ENSG00000162522,302,64,328,66,54,268,78,334,76,362
ENSG00000132677,228,11,266,8,8,226,9,284,7,299
ENSG00000079246,487,270,520,255,247,469,239,520,265,537
ENSG00000085276,246,8,253,4,8,273,8,268,10,262
ENSG00000109758,2,271,3,243,242,3,210,1,292,1
ENSG00000128052,278,40,318,39,33,264,47,307,51,298
ENSG00000068697,727,458,616,444,434,681,427,722,465,705
ENSG00000120742,363,594,351,637,621,341,559,364,593,342
ENSG00000081041,2,264,6,274,244,4,226,6,263,4
ENSG00000134308,289,68,346,80,92,318,74,340,108,362
ENSG00000087274,496,236,463,247,243,493,246,505,249,508
ENSG00000143761,684,462,650,463,447,661,409,678,491,784
ENSG00000170248,361,140,396,133,127,363,126,357,115,396
ENSG00000114315,314,70,306,108,75,293,77,348,83,371
ENSG00000116754,482,682,486,779,692,438,672,460,695,454
ENSG00000151693,272,15,257,14,27,250,24,294,29,267
ENSG00000143416,299,598,290,545,538,304,458,362,611,339
ENSG00000144381,544,294,547,318,286,538,316,548,290,551
ENSG00000203667,334,97,347,92,101,337,100,364,108,340
ENSG00000213639,515,289,538,328,277,493,293,562,310,585
ENSG00000115380,309,82,330,63,64,309,56,294,87,322
ENSG00000153823,16,244,13,260,245,16,257,16,282,18
ENSG00000010932,244,7,258,6,5,231,2,256,4,244
ENSG00000072274,422,202,422,198,174,446,189,449,216,444
ENSG00000079308,337,94,330,102,88,306,82,344,108,358
ENSG00000023330,153,406,199,420,398,157,397,172,420,160
ENSG00000157404,237,16,267,27,19,242,8,267,17,269
ENSG00000074416,476,747,518,760,651,466,670,468,756,514
ENSG00000142910,273,37,267,41,25,217,24,314,37,270
ENSG00000138678,246,17,236,16,16,226,7,260,15,290
ENSG00000176720,59,319,55,297,274,49,276,62,307,62
ENSG00000198589,305,86,382,99,95,327,92,321,96,308
ENSG00000123472,364,166,408,147,183,387,169,406,162,438
ENSG00000163069,280,49,294,40,50,267,41,272,49,303
ENSG00000135862,341,108,388,114,114,329,118,348,133,359
ENSG00000132305,344,126,376,136,127,330,139,384,122,388
ENSG00000159650,2,244,3,260,232,4,209,3,244,1
ENSG00000138061,256,39,275,31,41,253,37,269,36,302
ENSG00000168306,110,338,90,363,344,118,320,97,342,124
ENSG00000173726,374,127,367,135,129,364,123,380,146,344
ENSG00000135631,244,34,262,20,26,240,26,264,34,294
ENSG00000084754,501,358,608,324,333,552,322,589,391,595
ENSG00000116044,466,302,508,260,264,501,281,535,298,538
ENSG00000116729,233,26,263,32,19,219,21,277,32,285
ENSG00000163638,221,13,233,14,9,224,12,261,11,271
ENSG00000163625,286,72,328,66,75,282,67,308,49,270
ENSG00000153827,374,132,352,136,156,340,128,387,158,396
ENSG00000048707,383,162,393,161,164,349,174,420,171,418
ENSG00000116288,364,214,395,229,198,394,171,481,208,474
ENSG00000138688,304,86,329,131,95,330,106,344,112,355
ENSG00000084733,294,125,326,139,113,337,91,376,129,379
ENSG00000135932,358,142,395,141,147,333,123,385,173,381
ENSG00000178537,80,307,62,323,264,67,288,79,296,64
ENSG00000143409,298,118,322,85,86,305,83,321,84,337
ENSG00000143061,217,5,228,4,3,238,4,221,10,253
ENSG00000036828,219,5,231,8,0,210,6,248,2,242
ENSG00000017260,250,32,260,36,42,238,36,268,47,298
ENSG00000162434,435,185,423,205,206,393,163,411,213,420
ENSG00000163171,265,53,266,37,37,246,46,304,48,250
ENSG00000077097,354,149,367,140,137,344,134,374,156,383
ENSG00000143621,305,96,306,100,79,286,79,316,85,329
ENSG00000211592,37,257,43,254,250,24,233,39,282,32
ENSG00000177606,348,151,393,163,140,362,162,370,175,409
ENSG00000162390,211,3,216,0,4,204,2,235,4,236
ENSG00000196083,16,240,28,264,241,28,220,24,240,22
ENSG00000173706,248,42,264,45,36,248,43,276,45,263
ENSG00000121774,356,134,328,134,137,352,122,358,128,347
ENSG00000162631,218,0,224,0,1,218,0,202,2,228
ENSG00000133048,246,26,254,23,27,218,23,257,33,239
ENSG00000090539,45,259,51,303,254,52,249,55,265,53
ENSG00000115365,247,60,267,57,77,282,69,300,65,302
ENSG00000116560,390,227,427,200,199,367,193,442,212,456
ENSG00000173660,253,53,288,79,68,255,54,266,52,309
ENSG00000082438,532,362,510,331,296,508,293,528,320,573
ENSG00000143612,385,212,404,194,211,399,201,434,226,468
ENSG00000117523,909,810,993,798,724,955,733,1006,762,977
ENSG00000157103,14,239,22,217,236,7,191,13,245,13
ENSG00000077549,340,162,354,160,134,340,117,380,158,368
ENSG00000135829,293,85,258,77,70,269,93,321,88,317
ENSG00000115758,326,115,325,105,91,301,114,309,118,336
ENSG00000172493,349,146,368,169,160,328,130,342,138,393
ENSG00000131791,124,319,103,312,358,130,312,104,329,129
ENSG00000143376,307,93,289,107,109,315,89,311,116,330
ENSG00000188206,426,219,429,226,224,423,230,460,229,427
ENSG00000155366,308,126,310,112,89,279,113,328,116,354
ENSG00000136521,292,118,338,84,99,284,112,289,106,339
ENSG00000117450,677,448,676,485,450,620,428,638,461,678
ENSG00000143845,305,528,313,496,512,283,521,381,563,341
ENSG00000143257,32,235,23,239,230,40,235,30,247,26
ENSG00000182899,474,297,546,301,340,476,304,494,296,548
ENSG00000160710,627,451,576,408,446,588,368,624,418,662
ENSG00000169174,10,223,8,230,221,8,173,7,219,13
ENSG00000116459,247,61,254,75,63,230,59,308,54,282
ENSG00000178252,410,251,435,238,200,396,211,452,230,446
ENSG00000162736,288,76,292,99,75,258,71,298,86,291
ENSG00000172292,217,48,252,41,44,223,32,251,52,285
ENSG00000163931,268,71,254,66,48,253,76,302,77,275
ENSG00000173905,351,188,404,188,176,397,196,425,226,400
ENSG00000118762,232,64,292,65,56,246,61,279,84,288
ENSG00000115649,271,77,296,89,88,271,88,303,99,314
ENSG00000144118,268,63,246,72,60,249,58,298,65,268
ENSG00000163251,51,269,59,272,251,50,240,44,257,73
ENSG00000138443,240,75,261,56,59,271,71,263,69,291
ENSG00000084734,0,198,1,192,199,0,165,0,235,1
ENSG00000204843,278,77,267,66,69,246,76,279,87,295
ENSG00000197756,650,531,666,522,490,660,471,751,537,751
ENSG00000064042,300,81,251,80,78,265,82,298,76,270
ENSG00000169418,204,19,238,22,14,194,11,206,22,234
ENSG00000131236,332,158,326,150,147,298,127,344,142,388
ENSG00000169020,294,121,311,124,117,266,99,340,126,340
ENSG00000117592,536,789,597,769,782,565,719,583,775,603
ENSG00000122406,344,205,404,206,206,399,191,414,187,392
ENSG00000168291,293,97,304,92,90,296,107,283,104,286
ENSG00000003436,101,274,111,298,317,81,287,106,292,104
ENSG00000116539,310,130,334,142,134,332,129,334,149,340
ENSG00000113971,350,600,378,570,556,416,560,408,600,391
ENSG00000131370,214,38,233,36,49,243,47,239,50,252
ENSG00000117410,234,67,274,66,75,254,88,254,90,313
ENSG00000145391,115,301,109,307,279,121,295,109,348,128
ENSG00000138496,103,300,109,313,273,90,268,82,282,106
ENSG00000162692,204,32,238,32,34,206,36,238,38,234
ENSG00000163710,213,24,216,19,18,177,13,198,20,232
ENSG00000115993,302,111,302,120,105,301,121,294,104,311
ENSG00000109181,1,200,8,223,185,1,169,2,171,2
ENSG00000158864,387,202,418,221,198,349,192,388,213,410
ENSG00000143772,183,12,190,12,16,209,7,188,14,222
ENSG00000157087,4,207,10,196,176,6,180,7,203,3
ENSG00000178568,172,1,180,6,3,207,5,176,5,213
ENSG00000168389,4,187,12,194,211,11,171,5,208,13
ENSG00000132849,233,61,227,59,40,229,42,237,42,243
ENSG00000090512,2,191,3,189,187,6,174,6,202,3
ENSG00000186197,207,23,167,15,19,224,20,217,30,205
ENSG00000082781,323,166,309,175,179,308,147,388,168,388
ENSG00000117118,342,199,349,179,184,375,199,385,206,413
ENSG00000115602,171,4,190,4,2,196,5,175,3,198
ENSG00000116251,315,140,308,158,164,330,144,358,174,364
ENSG00000115091,290,145,265,121,118,293,106,348,138,316
ENSG00000151552,316,504,317,500,486,289,480,345,508,314
ENSG00000130414,288,100,320,114,124,255,122,291,114,309
ENSG00000144802,62,244,49,252,240,60,193,70,266,68
ENSG00000160712,50,236,57,252,200,53,224,51,252,60
ENSG00000117643,222,58,206,44,46,208,42,238,60,265
ENSG00000151690,179,9,203,12,19,198,10,189,10,191
ENSG00000134313,228,78,236,70,80,248,68,256,56,272
ENSG00000162688,137,324,139,316,334,146,313,126,326,179
ENSG00000115464,365,205,407,208,163,381,232,357,242,403
ENSG00000123836,193,14,190,16,10,181,16,180,12,213
ENSG00000127483,278,96,272,97,110,265,78,269,103,288
ENSG00000145246,189,40,220,28,32,190,27,218,29,224
ENSG00000135968,248,82,281,96,114,245,63,267,86,274
ENSG00000130770,229,100,264,94,94,265,82,290,104,294
ENSG00000143198,238,70,242,85,71,221,64,265,96,286
ENSG00000075426,178,38,223,30,32,182,40,238,38,224
ENSG00000162882,38,258,45,213,219,33,195,70,232,69
ENSG00000073734,2,168,1,191,180,1,158,2,186,1
ENSG00000117054,378,240,406,236,238,412,232,410,262,459
ENSG00000115944,330,182,351,170,164,334,180,360,182,373
ENSG00000144560,279,93,251,101,92,273,98,274,85,264
ENSG00000143442,306,222,380,195,188,361,161,392,221,373
ENSG00000160678,189,2,151,8,1,145,8,169,9,219
ENSG00000182749,202,25,181,31,25,177,28,214,24,217
ENSG00000069849,180,21,174,10,13,168,8,208,26,202
ENSG00000132466,408,244,470,305,280,437,249,460,297,427
ENSG00000077232,247,70,246,89,76,242,86,266,81,257
ENSG00000138071,361,192,379,179,205,319,193,362,190,374
ENSG00000163466,348,187,334,168,188,341,183,364,191,373
ENSG00000152583,308,112,308,154,141,259,110,295,132,309
ENSG00000118640,324,166,349,164,172,280,144,336,153,338
ENSG00000119801,287,137,331,130,136,299,138,296,155,321
ENSG00000163430,357,221,371,212,207,346,198,376,220,429
ENSG00000117859,310,144,307,157,183,308,152,351,147,335
ENSG00000169564,425,257,398,270,259,397,245,468,280,440
ENSG00000138449,318,508,399,480,510,330,481,333,539,336
ENSG00000109606,261,95,263,100,80,246,97,281,121,271
ENSG00000136628,289,123,307,140,131,284,127,316,150,305
ENSG00000143278,0,176,0,196,168,5,145,2,149,2
ENSG00000198585,335,160,360,181,190,296,165,358,197,354
ENSG00000115652,193,34,196,22,22,165,25,206,28,196
ENSG00000138757,287,122,296,163,138,321,131,316,150,302
ENSG00000131781,33,210,29,192,187,41,189,33,214,35
ENSG00000162817,204,369,216,377,368,193,362,198,383,232
ENSG00000119185,197,38,214,32,35,188,38,216,40,185
ENSG00000050628,143,4,157,0,3,139,0,203,2,171
